PartNum,RevisionNum,MtlPartNum,ReqDueDate,TotalRemainingQty,TotalRequiredQty,TotalOnHandQty,TotalRelQty,DemandLeadTime
1000R2934,3,1000R2934,2008-06-26,3.0,3.0,0.0,0.0,0
1000 70381,B,1501 6614,2013-02-12,3.0,3.0,619598.0,0.0,0
1000 70381,B,1501 6641,2013-02-12,3.0,3.0,36203.0,0.0,0
1000 70381,B,1501 7698,2013-02-12,3.0,3.0,32239.0,0.0,0
1000 70381,B,1501 7766,2013-02-12,3.0,3.0,32672.0,0.0,0
1000 70381,B,1700 3057,2013-02-12,18.0,18.0,130644.0,56273.0,0
1000 70381,B,1801 2153,2013-02-12,3.0,3.0,32551.0,0.0,0
1000 70381,B,2461 0653,2013-02-12,21.0,21.0,5306.0,33000.0,0
1000 70381,B,3131 8546,2013-02-12,3.0,3.0,34445.0,0.0,0
1000 70381,B,3300 0827,2013-02-12,3.0,0.108,0.0,0.0,0
1000 70381,B,3300 0863,2013-02-12,3.0,0.006,0.0,0.0,0
1000 70381,B,3300 1776,2013-02-12,3.0,0.006,0.0,0.0,0
1000 70381,B,4701 14440,2013-02-12,3.0,3.0,34471.0,0.0,0
1000 70381,B,4701 14441,2013-02-12,3.0,3.0,35345.0,0.0,0
1000 70381,B,4701 14442,2013-02-12,3.0,3.0,31333.0,0.0,0
1000 70381,B,4701 14443,2013-02-12,3.0,3.0,20572.0,20000.0,0
1000 70381,B,4801 4210,2013-02-12,51.0,51.0,30617.0,529760.0,0
1000 70381,B,5000 0561,2013-02-12,9.0,18.0,0.0,230000.0,0
1000 6265,13,3300 0854,2014-12-29,272.0,0.0096,0.0,380.0,0
1000 6268,09,3300 1041,2014-12-29,11.0,7e-05,0.0,0.0,0
1000 7460,B,1601 2876,2014-12-29,6.0,314.0,0.0,0.0,0
1000 7884,7,1000 7884-CUST-DOCS,2015-10-05,5.0,5.0,0.0,0.0,0
1000 7884,7,1500 1299,2015-10-05,10.0,10.0,13102.0,7200.0,0
1000 7884,7,1500 2214,2015-10-05,5.0,5.0,3794.0,0.0,0
1000 7884,7,1501 1094,2015-10-05,5.0,20.0,28230.0,0.0,0
1000 7884,7,1501 2192,2015-10-05,35.0,105.0,209517.0,42000.0,0
1000 7884,7,1501 2208,2015-10-05,5.0,150.0,121912.0,0.0,0
1000 7884,7,1501 2224,2015-10-05,5.0,5.0,20679.0,0.0,0
1000 7884,7,1501 2256,2015-10-05,15.0,15.0,60504.0,27000.0,0
1000 7884,7,1501 2332,2015-10-05,5.0,10.0,11538.0,10000.0,0
1000 7884,7,1501 4691,2015-10-05,15.0,30.0,554319.0,30000.0,0
1000 7884,7,1501 4692,2015-10-05,5.0,5.0,6679.0,0.0,0
1000 7884,7,1501 4693,2015-10-05,5.0,5.0,3762.0,0.0,0
1000 7884,7,1501 4695,2015-10-05,5.0,10.0,14885.0,0.0,0
1000 7884,7,1501 4696,2015-10-05,5.0,5.0,6419.0,3000.0,0
1000 7884,7,1501 5068,2015-10-05,5.0,20.0,30190.0,0.0,0
1000 7884,7,1501 5069,2015-10-05,5.0,5.0,15866.0,0.0,0
1000 7884,7,1501 5070,2015-10-05,5.0,5.0,17976.0,0.0,0
1000 7884,7,1501 5076,2015-10-05,5.0,5.0,9353.0,0.0,0
1000 7884,7,1501 5521,2015-10-05,5.0,5.0,20316.0,0.0,0
1000 7884,7,1601 1007,2015-10-05,5.0,0.15,0.0,0.0,0
1000 7884,7,1700 2283,2015-10-05,5.0,5.0,0.0,0.0,0
1000 7884,7,1801 1748,2015-10-05,5.0,10.0,7540.0,0.0,0
1000 7884,7,2100 2986,2015-10-05,5.0,10.0,10592.0,0.0,0
1000 7884,7,2301 0085,2015-10-05,5.0,5.0,9423.0,0.0,0
1000 7884,7,2301 0375,2015-10-05,5.0,5.0,3942.0,0.0,0
1000 7884,7,2450 0203,2015-10-05,5.0,5.0,30080.0,0.0,0
1000 7884,7,2825 1262,2015-10-05,10.0,10.0,12676.0,6000.0,0
1000 7884,7,2825 1264,2015-10-05,5.0,5.0,5569.0,0.0,0
1000 7884,7,4500 0460,2015-10-05,5.0,2.0,2991.0,0.0,0
1000 7884,7,4701 10872,2015-10-05,5.0,25.0,252544.0,0.0,0
1000 7884,7,4701 14343,2015-10-05,5.0,10.0,15633.0,0.0,0
1000 7884,7,4701 14975,2015-10-05,5.0,5.0,7428.0,0.0,0
1000 7884,7,4701 2347,2015-10-05,5.0,5.0,8844.0,0.0,0
1000 7884,7,4701 2666,2015-10-05,5.0,25.0,39764.0,0.0,0
1000 7884,7,4701 3471,2015-10-05,5.0,5.0,17443.0,0.0,0
1000 7884,7,4701 3483,2015-10-05,5.0,15.0,91132.0,8000.0,0
1000 7884,7,4701 3522,2015-10-05,5.0,5.0,12303.0,0.0,0
1000 7884,7,4701 3840,2015-10-05,5.0,5.0,22544.0,0.0,0
1000 7884,7,4701 3860,2015-10-05,5.0,5.0,7919.0,0.0,0
1000 7884,7,4701 4823,2015-10-05,5.0,150.0,194357.0,20000.0,0
1000 7884,7,4701 6584,2015-10-05,15.0,135.0,1299081.0,120000.0,0
1000 7884,7,4701 8641,2015-10-05,5.0,10.0,23452.0,0.0,0
1000 7884,7,4701 8643,2015-10-05,5.0,5.0,16307.0,0.0,0
1000 7884,7,4701 8648,2015-10-05,5.0,5.0,25495.0,0.0,0
1000 7884,7,4701 8649,2015-10-05,5.0,5.0,28759.0,0.0,0
1000 7884,7,4701 8650,2015-10-05,5.0,50.0,48233.0,15000.0,0
1000 7884,7,4701 8652,2015-10-05,5.0,5.0,9044.0,15000.0,0
1000 7884,7,4701 8653,2015-10-05,5.0,5.0,26442.0,0.0,0
1000 7884,7,4701 9169,2015-10-05,5.0,20.0,23913.0,0.0,0
1000 7884,7,4701 9170,2015-10-05,5.0,10.0,20558.0,0.0,0
1000 7884,7,4701 9173,2015-10-05,5.0,5.0,12847.0,0.0,0
1000 7884,7,4701 9174,2015-10-05,5.0,10.0,25177.0,0.0,0
1000 7884,7,4701 9177,2015-10-05,5.0,5.0,9152.0,10000.0,0
1000 7884,7,4701 9202,2015-10-05,5.0,5.0,8192.0,0.0,0
1000 7884,7,4800 0679,2015-10-05,5.0,5.0,4755.0,0.0,0
