ForecastDate,ForecastRemainingQty,PartNum,RevisionNum,MtlPartNum
2017-02-05,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-02-12,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-02-19,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-02-26,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-03-05,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-03-12,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-03-19,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-03-26,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-04-02,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-04-09,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-04-16,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-04-23,185.0,1000 0471,J,1000 0471-CUST-DOCS
2017-02-05,122.0,1000 0471,J,1601 2896
2017-02-12,122.0,1000 0471,J,1601 2896
2017-02-19,122.0,1000 0471,J,1601 2896
2017-02-26,122.0,1000 0471,J,1601 2896
2017-03-05,122.0,1000 0471,J,1601 2896
2017-03-12,122.0,1000 0471,J,1601 2896
2017-03-19,122.0,1000 0471,J,1601 2896
2017-03-26,122.0,1000 0471,J,1601 2896
2017-04-02,122.0,1000 0471,J,1601 2896
2017-04-09,122.0,1000 0471,J,1601 2896
2017-04-16,122.0,1000 0471,J,1601 2896
2017-04-23,122.0,1000 0471,J,1601 2896
2017-02-05,185.0,1000 0471,J,1700 0211
2017-02-12,185.0,1000 0471,J,1700 0211
2017-02-19,185.0,1000 0471,J,1700 0211
2017-02-26,185.0,1000 0471,J,1700 0211
2017-03-05,185.0,1000 0471,J,1700 0211
2017-03-12,185.0,1000 0471,J,1700 0211
2017-03-19,185.0,1000 0471,J,1700 0211
2017-03-26,185.0,1000 0471,J,1700 0211
2017-04-02,185.0,1000 0471,J,1700 0211
2017-04-09,185.0,1000 0471,J,1700 0211
2017-04-16,185.0,1000 0471,J,1700 0211
2017-04-23,185.0,1000 0471,J,1700 0211
2017-02-05,185.0,1000 0471,J,3300 0006
2017-02-12,185.0,1000 0471,J,3300 0006
2017-02-19,185.0,1000 0471,J,3300 0006
2017-02-26,185.0,1000 0471,J,3300 0006
2017-03-05,185.0,1000 0471,J,3300 0006
2017-03-12,185.0,1000 0471,J,3300 0006
2017-03-19,185.0,1000 0471,J,3300 0006
2017-03-26,185.0,1000 0471,J,3300 0006
2017-04-02,185.0,1000 0471,J,3300 0006
2017-04-09,185.0,1000 0471,J,3300 0006
2017-04-16,185.0,1000 0471,J,3300 0006
2017-04-23,185.0,1000 0471,J,3300 0006
2017-02-05,2035.0,1000 0471,J,3300 0074
2017-02-12,2035.0,1000 0471,J,3300 0074
2017-02-19,2035.0,1000 0471,J,3300 0074
2017-02-26,2035.0,1000 0471,J,3300 0074
2017-03-05,2035.0,1000 0471,J,3300 0074
2017-03-12,2035.0,1000 0471,J,3300 0074
2017-03-19,2035.0,1000 0471,J,3300 0074
2017-03-26,2035.0,1000 0471,J,3300 0074
2017-04-02,2035.0,1000 0471,J,3300 0074
2017-04-09,2035.0,1000 0471,J,3300 0074
2017-04-16,2035.0,1000 0471,J,3300 0074
2017-04-23,2035.0,1000 0471,J,3300 0074
2017-02-05,555.0,1000 0471,J,3300 0135
2017-02-12,555.0,1000 0471,J,3300 0135
2017-02-19,555.0,1000 0471,J,3300 0135
2017-02-26,555.0,1000 0471,J,3300 0135
2017-03-05,555.0,1000 0471,J,3300 0135
2017-03-12,555.0,1000 0471,J,3300 0135
2017-03-19,555.0,1000 0471,J,3300 0135
2017-03-26,555.0,1000 0471,J,3300 0135
2017-04-02,555.0,1000 0471,J,3300 0135
2017-04-09,555.0,1000 0471,J,3300 0135
2017-04-16,555.0,1000 0471,J,3300 0135
2017-04-23,555.0,1000 0471,J,3300 0135
2017-02-05,190.08163717604157,1000 0471,J,3300 0201
2017-02-12,190.43735955603972,1000 0471,J,3300 0201
2017-02-19,190.79308193603788,1000 0471,J,3300 0201
2017-02-26,191.14880431603603,1000 0471,J,3300 0201
2017-03-05,191.5045266960342,1000 0471,J,3300 0201
2017-03-12,191.86024907603235,1000 0471,J,3300 0201
2017-03-19,192.21597145603053,1000 0471,J,3300 0201
2017-03-26,192.5716938360287,1000 0471,J,3300 0201
2017-04-02,192.92741621602687,1000 0471,J,3300 0201
2017-04-09,193.28313859602503,1000 0471,J,3300 0201
2017-04-16,193.63886097602318,1000 0471,J,3300 0201
2017-04-23,193.99458335602137,1000 0471,J,3300 0201
2017-02-05,190.08163717604157,1000 0471,J,3300 0242
2017-02-12,190.43735955603972,1000 0471,J,3300 0242
2017-02-19,190.79308193603788,1000 0471,J,3300 0242
2017-02-26,191.14880431603603,1000 0471,J,3300 0242
2017-03-05,191.5045266960342,1000 0471,J,3300 0242
2017-03-12,191.86024907603235,1000 0471,J,3300 0242
2017-03-19,192.21597145603053,1000 0471,J,3300 0242
2017-03-26,192.5716938360287,1000 0471,J,3300 0242
2017-04-02,192.92741621602687,1000 0471,J,3300 0242
2017-04-09,193.28313859602503,1000 0471,J,3300 0242
2017-04-16,193.63886097602318,1000 0471,J,3300 0242
2017-04-23,193.99458335602137,1000 0471,J,3300 0242
2017-02-05,185.0,1000 0471,J,331564S
2017-02-12,185.0,1000 0471,J,331564S
2017-02-19,185.0,1000 0471,J,331564S
2017-02-26,185.0,1000 0471,J,331564S
2017-03-05,185.0,1000 0471,J,331564S
2017-03-12,185.0,1000 0471,J,331564S
2017-03-19,185.0,1000 0471,J,331564S
2017-03-26,185.0,1000 0471,J,331564S
2017-04-02,185.0,1000 0471,J,331564S
2017-04-09,185.0,1000 0471,J,331564S
2017-04-16,185.0,1000 0471,J,331564S
2017-04-23,185.0,1000 0471,J,331564S
2017-02-05,185.0,1000 0471,J,581117S
2017-02-12,185.0,1000 0471,J,581117S
2017-02-19,185.0,1000 0471,J,581117S
2017-02-26,185.0,1000 0471,J,581117S
2017-03-05,185.0,1000 0471,J,581117S
2017-03-12,185.0,1000 0471,J,581117S
2017-03-19,185.0,1000 0471,J,581117S
2017-03-26,185.0,1000 0471,J,581117S
2017-04-02,185.0,1000 0471,J,581117S
2017-04-09,185.0,1000 0471,J,581117S
2017-04-16,185.0,1000 0471,J,581117S
2017-04-23,185.0,1000 0471,J,581117S
2017-02-05,185.0,1000 0471,J,581152S
2017-02-12,185.0,1000 0471,J,581152S
2017-02-19,185.0,1000 0471,J,581152S
2017-02-26,185.0,1000 0471,J,581152S
2017-03-05,185.0,1000 0471,J,581152S
2017-03-12,185.0,1000 0471,J,581152S
2017-03-19,185.0,1000 0471,J,581152S
2017-03-26,185.0,1000 0471,J,581152S
2017-04-02,185.0,1000 0471,J,581152S
2017-04-09,185.0,1000 0471,J,581152S
2017-04-16,185.0,1000 0471,J,581152S
2017-04-23,185.0,1000 0471,J,581152S
2017-02-05,185.0,1000 0471,J,581208S
2017-02-12,185.0,1000 0471,J,581208S
2017-02-19,185.0,1000 0471,J,581208S
2017-02-26,185.0,1000 0471,J,581208S
2017-03-05,185.0,1000 0471,J,581208S
2017-03-12,185.0,1000 0471,J,581208S
2017-03-19,185.0,1000 0471,J,581208S
2017-03-26,185.0,1000 0471,J,581208S
2017-04-02,185.0,1000 0471,J,581208S
2017-04-09,185.0,1000 0471,J,581208S
2017-04-16,185.0,1000 0471,J,581208S
2017-04-23,185.0,1000 0471,J,581208S
2017-02-05,185.0,1000 0471,J,611000S
2017-02-12,185.0,1000 0471,J,611000S
2017-02-19,185.0,1000 0471,J,611000S
2017-02-26,185.0,1000 0471,J,611000S
2017-03-05,185.0,1000 0471,J,611000S
2017-03-12,185.0,1000 0471,J,611000S
2017-03-19,185.0,1000 0471,J,611000S
2017-03-26,185.0,1000 0471,J,611000S
2017-04-02,185.0,1000 0471,J,611000S
2017-04-09,185.0,1000 0471,J,611000S
2017-04-16,185.0,1000 0471,J,611000S
2017-04-23,185.0,1000 0471,J,611000S
2017-02-05,185.0,1000 0471,J,611002S
